case,method,mse,psnr_db,ssim,relative_mse,detail_ratio,energy_ratio,low_frequency_mse,low_frequency_psnr_db
canopy-shadow,bilinear,0.00619569,22.079,0.442367,0.71029855,3.667782,0.991738,0.00059825,32.231
canopy-shadow,ommatidium,0.00085364,30.687,0.862888,0.02722349,0.828489,0.964183,0.00027249,35.647
canopy-shadow,restir-svgf,0.00258888,25.869,0.798083,0.12308864,0.478057,0.888775,0.00215862,26.658
canopy-shadow,oidn-input-high,0.00066384,31.779,0.913089,0.03806759,0.424978,0.983744,0.00023141,36.356
canopy-shadow,oidn-input-fast,0.00080612,30.936,0.897874,0.04633168,0.458758,0.982682,0.00029660,35.278
canopy-shadow,oidn-output-high,0.00618361,22.088,0.442829,0.70867984,3.661730,0.992618,0.00060044,32.215
glossy-contact,bilinear,0.00912268,20.399,0.394301,3.10340963,2.792168,0.993030,0.00088744,30.519
glossy-contact,ommatidium,0.00098447,30.068,0.858620,0.04056792,0.732598,0.931976,0.00027741,35.569
glossy-contact,restir-svgf,0.00589780,22.293,0.741457,1.65914594,0.544905,0.784942,0.00489219,23.105
glossy-contact,oidn-input-high,0.00149653,28.249,0.897429,1.99806874,0.458740,0.996989,0.00041514,33.818
glossy-contact,oidn-input-fast,0.00136353,28.653,0.895184,1.66487526,0.462118,0.981500,0.00036136,34.421
glossy-contact,oidn-output-high,0.00910707,20.406,0.394781,3.08593748,2.787833,0.992387,0.00088937,30.509
local-light,bilinear,0.01229952,19.101,0.336229,2.60639537,2.420815,0.995670,0.00115063,29.391
local-light,ommatidium,0.00137813,28.607,0.841597,0.03507769,0.762925,0.924108,0.00035170,34.538
local-light,restir-svgf,0.00554657,22.560,0.775211,1.08878307,0.612842,0.916682,0.00351612,24.539
local-light,oidn-input-high,0.00212845,26.719,0.842383,1.14836779,0.526917,1.004580,0.00028547,35.444
local-light,oidn-input-fast,0.00229685,26.389,0.833195,1.10808341,0.514224,1.008580,0.00038634,34.130
local-light,oidn-output-high,0.01228436,19.106,0.336778,2.60132912,2.416568,0.996102,0.00115359,29.379
textured-gloss,bilinear,0.01431430,18.442,0.327363,1.35737615,3.022184,0.967049,0.00281074,25.512
textured-gloss,ommatidium,0.00157264,28.034,0.798668,0.03477043,0.679342,0.935085,0.00067848,31.685
textured-gloss,restir-svgf,0.00873589,20.587,0.723440,0.42896081,0.562695,0.804151,0.00765070,21.163
textured-gloss,oidn-input-high,0.00177979,27.496,0.846731,0.41471057,0.388061,0.959341,0.00073027,31.365
textured-gloss,oidn-input-fast,0.00203623,26.912,0.832501,0.34897567,0.407125,0.943932,0.00094982,30.224
textured-gloss,oidn-output-high,0.01429448,18.448,0.327790,1.35028293,3.017588,0.967695,0.00281942,25.498
indoor-detail,bilinear,0.01600446,17.958,0.280316,4.35157060,2.811672,0.999257,0.00164802,27.830
indoor-detail,ommatidium,0.00189480,27.224,0.775409,0.05738290,0.749618,0.952671,0.00048297,33.161
indoor-detail,restir-svgf,0.00679871,21.676,0.750342,3.17506521,0.582210,0.944452,0.00464426,23.331
indoor-detail,oidn-input-high,0.00268413,25.712,0.822504,2.97493918,0.476257,1.000931,0.00056527,32.477
indoor-detail,oidn-input-fast,0.00275109,25.605,0.808371,2.55800467,0.495644,1.002232,0.00058088,32.359
indoor-detail,oidn-output-high,0.01597939,17.964,0.280632,4.33851824,2.805719,1.001199,0.00164719,27.833
hard-shadow,bilinear,0.00745384,21.276,0.680212,7.32673334,2.371587,0.994102,0.00101753,29.925
hard-shadow,ommatidium,0.00081119,30.909,0.908456,0.02043042,0.892541,0.904963,0.00023668,36.258
hard-shadow,restir-svgf,0.00388129,24.110,0.648622,5.39944892,0.735700,0.911538,0.00260659,25.839
hard-shadow,oidn-input-high,0.00146941,28.329,0.916680,7.02878195,0.658346,1.023001,0.00029814,35.256
hard-shadow,oidn-input-fast,0.00159525,27.972,0.916857,7.40327662,0.653715,1.059857,0.00037165,34.299
hard-shadow,oidn-output-high,0.00741267,21.300,0.680584,7.34485419,2.364860,0.993114,0.00101371,29.941
