sequence,frame,baseline_psnr,previous_psnr,learned_psnr
0,0,22.207008,26.772411,27.037374
0,1,23.030994,26.685030,26.950325
0,2,23.923990,27.113052,27.388756
0,3,24.192144,27.087383,27.350449
0,4,24.652206,27.268961,27.574062
0,5,24.784653,27.024197,27.300819
0,6,24.379681,26.464025,26.792439
0,7,24.493361,26.531343,26.785364
0,8,24.589569,26.554129,26.790646
0,9,24.752209,26.564896,26.766911
0,10,24.641562,26.329029,26.658138
0,11,24.634542,26.512405,26.771509
0,12,24.714930,26.437233,26.697048
0,13,24.431057,26.302940,26.498785
0,14,24.432758,26.065456,26.327152
0,15,24.515057,26.312120,26.539850
1,0,21.633251,27.934631,29.153889
1,1,23.703844,30.068615,30.625874
1,2,24.528648,30.363945,30.782080
1,3,25.260864,30.612915,30.989433
1,4,25.649099,30.472595,30.891197
1,5,26.256496,30.789906,31.311275
1,6,26.844345,31.378227,31.833895
1,7,26.947292,30.768396,31.125694
1,8,27.533972,31.013975,31.308426
1,9,27.646393,30.680595,30.906981
1,10,28.121372,31.160786,31.388140
1,11,28.310863,31.148546,31.263201
1,12,28.256371,30.896919,30.922316
1,13,28.668461,31.003218,31.008608
1,14,28.601694,30.690990,30.719042
1,15,28.760015,30.729172,30.537457
2,0,30.953272,32.745956,34.546822
2,1,32.824509,33.545921,35.614056
2,2,34.214378,34.344406,36.407341
2,3,35.412373,34.743240,36.838764
2,4,36.015457,35.020706,37.043118
2,5,36.570248,35.212975,37.335316
2,6,35.165131,34.691822,36.573215
2,7,35.839333,34.924511,36.836792
2,8,36.364578,34.840168,36.762005
2,9,36.775806,34.837788,36.770496
2,10,36.903854,34.948479,36.837322
2,11,36.640411,35.029472,36.774376
2,12,35.886963,34.718090,36.431538
2,13,36.614357,34.976913,36.598541
2,14,36.229866,34.802052,36.292118
2,15,36.251217,34.654202,35.991264
3,0,21.861824,26.513985,26.775429
3,1,23.291361,27.721031,28.146423
3,2,24.132853,28.136723,28.428127
3,3,24.917795,28.661253,28.916023
3,4,25.463474,29.006098,29.238939
3,5,25.911343,29.050758,29.435728
3,6,26.065313,29.343235,29.729942
3,7,25.800957,28.776522,29.171953
3,8,26.045828,28.785400,29.214861
3,9,26.510223,28.951567,29.407673
3,10,26.433430,28.732059,29.191339
3,11,26.803246,28.976696,29.601404
3,12,26.644939,28.682858,29.320688
3,13,26.853865,28.798950,29.512671
3,14,26.719337,28.600746,29.362524
3,15,26.649681,28.775967,29.536745
4,0,21.221992,26.457546,27.246223
4,1,22.352673,27.095289,27.718256
4,2,23.619844,27.892990,28.401733
4,3,23.930883,27.736320,28.168945
4,4,24.502924,27.818558,28.184278
4,5,24.578600,27.818520,28.143772
4,6,24.732817,27.501879,27.836918
4,7,24.922260,27.561634,27.881527
4,8,25.047848,27.429316,27.759554
4,9,24.796700,26.974972,27.314613
4,10,25.073681,27.072470,27.400864
4,11,25.205139,27.030064,27.285547
4,12,24.983707,26.846178,27.119804
4,13,24.928455,26.632605,26.802595
4,14,24.922722,26.547983,26.679432
4,15,25.149223,26.585720,26.645458
5,0,19.682011,25.220238,26.091244
5,1,20.986500,26.150414,26.986952
5,2,21.947102,26.880329,27.555164
5,3,22.701603,27.790951,28.375717
5,4,23.388092,28.299124,28.943474
5,5,23.707924,27.991716,28.792179
5,6,24.083725,28.246960,28.903309
5,7,24.492485,28.539179,29.203127
5,8,24.605665,28.646219,29.166073
5,9,24.701366,28.559858,29.110397
5,10,24.581734,28.030359,28.459232
5,11,24.975796,28.244352,28.587210
5,12,24.972250,28.146854,28.458443
5,13,24.834251,27.712128,28.057289
5,14,24.853811,27.752964,28.056877
5,15,24.724907,27.531498,27.726986
6,0,19.349295,25.900352,27.138077
6,1,21.065100,26.874903,28.217516
6,2,22.127480,27.174845,28.640202
6,3,23.284470,27.507421,29.302147
6,4,23.812143,27.659674,29.616653
6,5,24.325546,27.602345,29.596712
6,6,24.645832,27.684021,29.584099
6,7,24.818956,27.905693,29.581142
6,8,24.854439,27.627523,29.198275
6,9,25.079348,27.651859,29.174593
6,10,25.071648,27.572926,28.896507
6,11,24.963280,27.339787,28.584251
6,12,24.788448,27.074526,28.196438
6,13,24.981928,26.881802,28.089712
6,14,24.495743,26.479017,27.529432
6,15,24.331902,26.202478,27.171915
7,0,20.290649,27.345997,27.734352
7,1,21.922623,28.595411,29.430626
7,2,22.925926,28.928978,29.465139
7,3,23.563108,29.024155,29.576309
7,4,24.093321,29.476282,29.869797
7,5,24.531958,29.253777,29.534599
7,6,24.747622,28.873198,29.140699
7,7,25.125759,29.033012,29.311195
7,8,25.555346,29.233593,29.503201
7,9,25.804813,29.143085,29.315741
7,10,25.991230,28.976404,29.152338
7,11,25.735611,28.559795,28.757914
7,12,26.132727,28.534264,28.633907
7,13,26.246099,28.298513,28.346802
7,14,26.232353,28.231579,28.231123
7,15,26.094454,27.969416,27.876587
