sequence,frame,baseline_psnr,previous_psnr,learned_psnr
0,0,21.715096,26.373055,27.169193
0,1,23.334398,27.575272,28.255461
0,2,24.279053,28.266964,28.761549
0,3,25.188602,28.737051,29.309059
0,4,25.676590,29.017570,29.572033
0,5,26.013615,29.003605,29.534863
0,6,26.321068,28.875290,29.437222
0,7,26.592064,28.964460,29.534761
0,8,27.044317,29.280970,29.896240
0,9,27.129646,28.999140,29.567768
0,10,27.471638,29.321547,29.751179
0,11,27.357370,29.054899,29.560308
0,12,27.530212,29.219402,29.584282
0,13,28.064850,29.548531,29.956013
0,14,27.945103,29.339386,29.823721
0,15,27.880381,29.174154,29.592220
1,0,23.275589,26.409933,26.756523
1,1,24.799568,27.646133,28.284109
1,2,26.253576,28.426662,29.063137
1,3,26.900063,28.752739,29.542368
1,4,27.400166,28.720451,29.582272
1,5,27.875587,28.995249,29.759670
1,6,28.253609,29.110106,29.770058
1,7,28.283804,29.055302,29.645515
1,8,28.475643,28.948957,29.483482
1,9,28.788130,28.999521,29.529224
1,10,28.638247,28.806551,29.369556
1,11,28.034046,28.377529,28.744543
1,12,28.120632,28.417919,28.814632
1,13,28.182388,28.289614,28.675699
1,14,27.615993,27.735943,28.107525
1,15,27.813984,27.853239,28.050297
2,0,19.751400,24.773283,25.086327
2,1,21.175549,26.003674,26.609228
2,2,22.241928,26.434486,27.300480
2,3,23.096540,26.932362,27.796957
2,4,23.960199,27.344191,28.245504
2,5,24.366207,27.470554,28.242825
2,6,24.545519,27.433699,28.204769
2,7,24.941429,27.388260,28.201641
2,8,25.110361,27.353537,28.250181
2,9,25.146940,27.238962,28.286474
2,10,25.333889,27.209419,28.179478
2,11,25.073997,26.891935,27.747471
2,12,25.061184,26.603615,27.323570
2,13,25.253050,26.676083,27.392117
2,14,25.523937,26.872290,27.558590
2,15,25.476460,26.878481,27.545300
3,0,22.700930,27.353992,27.783005
3,1,24.561922,29.182171,29.453865
3,2,25.601982,29.808691,30.069153
3,3,26.216726,30.174393,30.460632
3,4,26.806171,30.431019,30.679134
3,5,27.080143,30.486588,30.829277
3,6,27.596485,30.653383,30.960064
3,7,27.983130,30.913298,31.239340
3,8,28.255947,30.869015,31.232071
3,9,28.497520,31.034649,31.447178
3,10,28.732893,30.940426,31.342630
3,11,29.023930,31.024727,31.456463
3,12,28.722315,30.589115,31.068840
3,13,29.473549,31.154396,31.689732
3,14,29.547680,31.239460,31.770451
3,15,29.800812,31.225811,31.738762
4,0,20.580566,25.442554,26.049934
4,1,22.030485,26.715843,27.393179
4,2,22.747627,26.871168,27.557781
4,3,23.673683,27.547451,28.025185
4,4,24.114206,27.607109,28.124969
4,5,24.733725,27.854752,28.472172
4,6,24.949408,27.740524,28.255270
4,7,25.611828,28.180454,28.741598
4,8,25.793898,28.093737,28.644711
4,9,26.439569,28.477577,29.075092
4,10,26.191921,27.954294,28.656212
4,11,26.621454,28.298273,29.165970
4,12,27.055416,28.482632,29.378870
4,13,26.855453,28.163559,29.148167
4,14,27.056667,28.108959,29.108776
4,15,27.216776,28.194723,29.246206
5,0,20.617710,25.497866,25.958141
5,1,22.501162,26.983665,27.581959
5,2,23.720448,27.704720,28.318848
5,3,24.505672,27.957203,28.568462
5,4,25.076542,28.016682,28.449028
5,5,25.563820,28.255674,28.572351
5,6,25.546173,27.866058,28.111786
5,7,25.961168,27.899055,28.054401
5,8,26.128941,27.820965,27.856636
5,9,26.113245,27.642012,27.614044
5,10,26.023512,27.300976,27.231667
5,11,26.032597,27.159447,27.032543
5,12,25.952995,26.774117,26.613735
5,13,26.008875,26.623623,26.457031
5,14,25.841019,26.422085,26.195164
5,15,25.827927,26.314819,26.058235
6,0,21.668377,25.593529,25.880032
6,1,22.663481,26.069334,26.487734
6,2,23.224560,26.476290,26.827301
6,3,23.835777,26.676773,27.124924
6,4,24.382982,26.991962,27.317360
6,5,24.888985,27.316256,27.525690
6,6,25.191477,27.476433,27.627144
6,7,25.343132,27.463095,27.597284
6,8,25.369654,27.325535,27.540800
6,9,25.373280,27.344269,27.525440
6,10,25.751442,27.581654,27.700502
6,11,25.844814,27.608746,27.701305
6,12,25.665497,27.199594,27.258305
6,13,25.992619,27.430984,27.531563
6,14,26.182062,27.582645,27.639023
6,15,26.012972,27.347439,27.387295
7,0,24.299505,27.164841,27.662857
7,1,25.426254,28.133785,28.808292
7,2,26.206291,28.807167,29.525042
7,3,26.735168,29.044540,29.688253
7,4,27.377016,29.686831,30.316978
7,5,27.626381,29.652275,30.177633
7,6,27.817841,29.661331,30.156166
7,7,27.922895,29.449261,29.871593
7,8,27.775246,29.404917,29.787449
7,9,27.636597,29.203680,29.563515
7,10,27.468435,28.989237,29.297573
7,11,27.796242,29.135864,29.419472
7,12,27.366173,28.646904,28.897867
7,13,27.325909,28.508236,28.710777
7,14,27.175772,28.383703,28.568127
7,15,27.375620,28.390320,28.611395
